"Park1","Park2","distance","duration","origin","destination","status"
"Afton State Park MN","Banning State Park MN","172503","5939","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States",TRUE
"Afton State Park MN","Bear Head Lake State Park MN","403885","14364","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Bear Head Lake State Park, 9301 Bear Head State Park Road, Ely, MN 55731, United States",TRUE
"Afton State Park MN","Beaver Creek Valley State Park MN","212166","9261","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Beaver Creek Valley State Park, 15954 County Rd 1, Caledonia, MN 55921, USA",TRUE
"Afton State Park MN","Big Bog State Recreation Area MN","478342","17911","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Big Bog State Recreation Area, 55716 MN-72, Waskish, MN 56685, USA",TRUE
"Afton State Park MN","Big Stone Lake State Park MN","363820","13641","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Big Stone Lake State Park, 35889 Meadowbrook State Park Road, Ortonville, MN 56278, United States",TRUE
"Afton State Park MN","Blue Mounds State Park MN","372032","14044","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Blue Mounds State Park, 1410 161st St, Luverne, MN 56156, USA",TRUE
"Afton State Park MN","Buffalo River State Park MN","412707","13899","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Buffalo River State Park, 565 155th St S, Glyndon, MN 56547, USA",TRUE
"Afton State Park MN","Camden State Park MN","295647","11648","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Camden State Park, 1897 Camden Park Rd, Lynd, MN 56157, United States",TRUE
"Afton State Park MN","Carley State Park MN","118525","5382","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Carley State Park, 50366 County Rd 4, Plainview, MN 55964, USA",TRUE
"Afton State Park MN","Cascade River State Park MN","433600","15829","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Cascade River State Park, West, 3481 Minnesota 61, Lutsen, MN 55612, United States",TRUE
"Afton State Park MN","Charles A. Lindbergh State Park MN","214000","7883","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Charles A. Lindbergh State Park, 1615 Lindbergh Dr S, Little Falls, MN 56345, USA",TRUE
